id,name,slug,summary,rating,rating_count,total_rating,total_rating_count,cover_url,genres,platforms,companies
1020,Grand Theft Auto V,grand-theft-auto-v,"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",89.64933913762452,5740,88.89363508605365,5767,co2lbd.jpg,"[""Shooter"", ""Racing"", ""Adventure""]","[""PlayStation 3"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Xbox One""]","[""Take-Two Interactive"", ""Rockstar Games"", ""Rockstar North"", ""Rockstar Toronto""]"
1942,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,"The Witcher 3: Wild Hunt is an open-world action role-playing game developed by CD Projekt Red.

Set in a dark fantasy world, the game follows Geralt of Rivia, a monster hunter searching for his adopted daughter, Ciri, while navigating political conflicts and supernatural threats. Gameplay features exploration, combat, character progression, and branching narratives shaped by player choices. Widely acclaimed for its writing, world-building, and depth, it is considered one of the most influential RPGs of its generation.",93.82358207505412,5286,92.77717565291168,5312,coaarl.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""Xbox Series X|S"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Xbox One"", ""Nintendo Switch""]","[""WB Games"", ""cdp.pl"", ""Spike Chunsoft"", ""Bandai Namco Entertainment"", ""CD Projekt RED"", ""D3T Limited"", ""Saber Interactive""]"
72,Portal 2,portal-2,"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",91.29706124710778,4342,91.87075284577612,4351,co1rs4.jpg,"[""Platform"", ""Puzzle"", ""Adventure""]","[""PlayStation 3"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""]","[""Valve"", ""Electronic Arts""]"
472,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.",87.71075480054115,4227,83.81371073360391,4237,cobt0i.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Bethesda Game Studios"", ""Bethesda Softworks""]"
732,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.",90.1077534525231,3927,91.62530529769012,3933,co2lb9.jpg,"[""Shooter"", ""Racing"", ""Adventure""]","[""Xbox"", ""PlayStation 3"", ""PlayStation 4"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Xbox 360"", ""PlayStation 2""]","[""Rockstar North"", ""Take-Two Interactive"", ""Rockstar Games"", ""TransGaming Inc.""]"
71,Portal,portal,"Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.",86.40096965438207,3914,83.20048482719103,3915,coay61.jpg,"[""Platform"", ""Puzzle"", ""Adventure""]","[""PlayStation 3"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""]","[""Valve"", ""Electronic Arts""]"
25076,Red Dead Redemption 2,red-dead-redemption-2,"Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age.",93.22803905671462,3632,93.6434312930632,3649,co1q1f.jpg,"[""Shooter"", ""Role-playing (RPG)"", ""Adventure""]","[""Google Stadia"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox One""]","[""Take-Two Interactive"", ""Rockstar Games""]"
1009,The Last of Us,the-last-of-us,"The Last of Us is a third-person action-adventure game featuring a mix of exploration, stealth and combat. Players face both infected creatures and hostile human enemies while progressing through varied environments. The game includes a narrative-driven single-player campaign and a competitive online multiplayer mode called Factions. Trophy support is included, and additional downloadable content was made available separately.",92.98511074375556,3443,92.26178614110856,3456,co1r7f.jpg,"[""Shooter"", ""Adventure""]","[""PlayStation 3""]","[""Naughty Dog"", ""Sony Computer Entertainment""]"
19560,God of War,god-of-war--1,"God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",92.0404807942031,3404,94.13562501248616,3430,cobkt6.jpg,"[""Role-playing (RPG)"", ""Hack and slash/Beat 'em up"", ""Adventure""]","[""PlayStation 4"", ""PC (Microsoft Windows)""]","[""Sony Interactive Entertainment"", ""SIE Santa Monica Studio"", ""Jetpack Interactive""]"
233,Half-Life 2,half-life-2,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.

NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.",90.2827794534094,3348,84.7038897267047,3355,co1nmw.jpg,"[""Shooter""]","[""Xbox"", ""PlayStation 3"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""]","[""Valve"", ""NVIDIA Lightspeed Studios"", ""Electronic Arts"", ""Sierra Entertainment""]"
20,BioShock,bioshock,"BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.",86.64314745525793,3142,89.63407372762896,3150,co2mli.jpg,"[""Shooter"", ""Puzzle"", ""Role-playing (RPG)"", ""Adventure""]","[""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""]","[""Demiurge Studios"", ""2K Games"", ""2K Boston"", ""Robosoft Technologies"", ""2K Australia""]"
127,Assassin's Creed II,assassin-s-creed-ii,"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.
Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.",86.67184542509378,3136,88.46092271254689,3144,co1rcf.jpg,"[""Platform"", ""Adventure""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment"", ""Ubisoft Singapore""]"
733,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,"In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami.",87.40317380409411,3065,90.70158690204704,3069,co2lbb.jpg,"[""Shooter"", ""Racing"", ""Adventure"", ""Arcade""]","[""Xbox"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Mac"", ""PlayStation 2""]","[""Rockstar Games"", ""Rockstar Vienna"", ""Rockstar North"", ""Take-Two Interactive"", ""TransGaming Inc.""]"
7346,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.",92.5028045766052,2860,95.0476985845989,2887,co3p2d.jpg,"[""Puzzle"", ""Adventure""]","[""Wii U"", ""Nintendo Switch""]","[""Monolith Soft"", ""Nintendo"", ""Nintendo EPD Production Group No. 3""]"
231,Half-Life,half-life,"Half-Life is a 1998 first-person shooter (FPS) game developed by Valve Corporation and published by Sierra Studios for Windows. It was Valve's debut product and the first game in the Half-Life series. The player assumes the role of Gordon Freeman, a theoretical physicist who must escape from the Black Mesa Research Facility after it is overrun by aliens following a disastrous scientific experiment. Its gameplay consists of diverse combat, exploration and puzzles.",88.39604382939223,2845,84.19802191469611,2846,coc2ea.jpg,"[""Shooter"", ""Puzzle"", ""Adventure""]","[""Linux"", ""PC (Microsoft Windows)"", ""Mac""]","[""Valve"", ""Sierra Entertainment""]"
74,Mass Effect 2,mass-effect-2,"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.

Game Features:

Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.

Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.

Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander.",91.3396338912166,2709,93.4698169456083,2718,co20ac.jpg,"[""Shooter"", ""Role-playing (RPG)"", ""Adventure""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Electronic Arts"", ""BioWare"", ""BioWare Edmonton"", ""BioWare Montréal""]"
538,BioShock Infinite,bioshock-infinite,"BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.",85.62756284715762,2630,89.42092428072166,2644,co2n12.jpg,"[""Shooter"", ""Adventure""]","[""PlayStation 3"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360""]","[""Virtual Programming"", ""Aspyr Media"", ""2K Games"", ""Irrational Games"", ""2K Australia"", ""Human Head Studios""]"
501,Batman: Arkham City,batman-arkham-city,"Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds.

Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight.",87.59298877527478,2623,89.39649438763739,2633,co1voh.jpg,"[""Hack and slash/Beat 'em up"", ""Adventure""]","[""OnLive Game System"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Nintendo Switch""]","[""WB Games"", ""DC Entertainment"", ""Rocksteady Studios""]"
7331,Uncharted 4: A Thief's End,uncharted-4-a-thief-s-end,"Several years after his last adventure, retired fortune hunter, Nathan Drake, is forced back into the world of thieves. With the stakes much more personal, Drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure. His greatest adventure will test his physical limits, his resolve, and ultimately what he's willing to sacrifice to save the ones he loves.",90.5010392717679,2561,91.87051963588394,2586,co1r7h.jpg,"[""Shooter"", ""Adventure""]","[""PlayStation 4""]","[""Naughty Dog"", ""Sony Interactive Entertainment""]"
500,Batman: Arkham Asylum,batman-arkham-asylum,"Batman: Arkham Asylum is an action-adventure game developed by Rocksteady Studios and published by Warner Bros. Interactive Entertainment. Released in 2009, it follows Batman as he battles the Joker, who seizes control of Arkham Asylum and frees its inmates. The game features stealth, combat, and detective elements, with players using Batman's gadgets and skills to subdue enemies and solve puzzles.

Set in a dark, immersive version of Gotham, the story explores Batman’s psychological battle with his foes, including Harley Quinn, Bane, and Scarecrow. The game received critical acclaim for its gameplay, atmosphere, and storytelling, becoming a defining title in superhero video games.",85.5986534970191,2555,87.49932674850956,2560,co1voj.jpg,"[""Hack and slash/Beat 'em up"", ""Adventure""]","[""PlayStation 3"", ""Ouya"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox 360"", ""Nintendo Switch""]","[""Eidos Interactive"", ""Playcast-media"", ""Rocksteady Studios"", ""Warner Bros. Interactive Entertainment""]"
73,Mass Effect,mass-effect,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.

Key Features:

Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.

Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.",86.18806298566156,2488,87.34403149283078,2492,co1x7o.jpg,"[""Shooter"", ""Role-playing (RPG)""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""BioWare"", ""Electronic Arts"", ""Demiurge Studios"", ""Edge of Reality"", ""BioWare Edmonton"", ""Microsoft Game Studios""]"
434,Red Dead Redemption,red-dead-redemption,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open world filled with wildlife, mini-games, and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family. Along his journey, he meets many characters emblematic of the Wild West, heroism, and the new civilization.",89.33185842607386,2460,90.56592921303692,2468,co2lcv.jpg,"[""Shooter"", ""Role-playing (RPG)"", ""Adventure""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Rockstar Games"", ""Rockstar North"", ""Take-Two Interactive"", ""Rockstar San Diego""]"
11156,Horizon Zero Dawn,horizon-zero-dawn,"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.",87.4076346708309,2359,88.12689425849237,2385,co2una.jpg,"[""Shooter"", ""Role-playing (RPG)"", ""Adventure""]","[""PlayStation 4"", ""PC (Microsoft Windows)"", ""PlayStation 5""]","[""Guerrilla Games"", ""Sony Interactive Entertainment""]"
16,Fallout: New Vegas,fallout-new-vegas,"In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.",87.09119830873057,2361,84.4955991543653,2370,co1u60.jpg,"[""Shooter"", ""Role-playing (RPG)""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Bandai Namco Entertainment"", ""Obsidian Entertainment"", ""1C/Cenega"", ""Bethesda Softworks""]"
1164,Tomb Raider,tomb-raider--2,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",81.71304449663096,2336,83.17795081974404,2350,co1rbu.jpg,"[""Shooter"", ""Platform"", ""Puzzle"", ""Adventure""]","[""PlayStation 3"", ""Linux"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Xbox 360""]","[""Nixxes Software"", ""Crystal Dynamics"", ""Square Enix"", ""Eidos Montréal"", ""Crystal Dynamics"", ""Feral Interactive"", ""Feral Interactive""]"
529,Far Cry 3,far-cry-3,"Explore an island playground as stunningly beautiful as it is diverse – from mountain ranges to swampy grasslands and white sandy beaches. Fight your way through the island’s towns, temples, river ports and more.

Encounter a diverse and realistic cast of characters, including one of Far Cry’s most notorious villains: Vaas Montenegro. Dive into this deep and enriching story where morals are questionable and hope is all but abandoned.",83.43855543726923,2179,86.48594438530128,2194,co1vpd.jpg,"[""Shooter"", ""Adventure""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Ubisoft Montreal"", ""Massive Entertainment"", ""Ubisoft Shanghai"", ""Ubisoft Entertainment""]"
565,Uncharted 2: Among Thieves,uncharted-2-among-thieves,"In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it.",88.63936435617568,2185,92.00718217808785,2193,co1tnb.jpg,"[""Shooter"", ""Platform"", ""Adventure""]","[""PlayStation 3""]","[""Naughty Dog"", ""Sony Computer Entertainment""]"
119133,Elden Ring,elden-ring,"Elden Ring is an action RPG developed by FromSoftware and published by Bandai Namco Entertainment, released in February 2022. Directed by Hidetaka Miyazaki, with world-building contributions from novelist George R. R. Martin, the game features an expansive open world called the Lands Between. Players assume the role of a customisable character known as the Tarnished, who must explore this world, battle formidable enemies, and seek to restore the Elden Ring to become the Elden Lord.

The game builds on the challenging gameplay mechanics familiar from the Dark Souls series but introduces a more open-ended structure with vast exploration, dynamic weather, and a day-night cycle. It offers deep lore, complex characters, and an interconnected world filled with secrets, dungeons, and powerful bosses.",93.53578511803843,2142,95.21789255901922,2152,co4jni.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""Xbox Series X|S"", ""PlayStation 4"", ""Nintendo Switch 2"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Xbox One""]","[""Bandai Namco Entertainment"", ""FromSoftware""]"
14593,Hollow Knight,hollow-knight,"A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.",91.89613950079462,2127,91.57306975039732,2135,cobfzp.jpg,"[""Platform"", ""Adventure"", ""Indie""]","[""Xbox Series X|S"", ""PlayStation 4"", ""Linux"", ""Nintendo Switch 2"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Mac"", ""Wii U"", ""Xbox One"", ""Nintendo Switch""]","[""Team Cherry""]"
1029,The Legend of Zelda: Ocarina of Time,the-legend-of-zelda-ocarina-of-time,"The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.",91.54925920248492,2097,91.54925920248492,2097,co3nnx.jpg,"[""Puzzle"", ""Adventure""]","[""Wii"", ""Nintendo 64"", ""64DD"", ""Wii U""]","[""Nintendo Entertainment Analysis & Development"", ""Nintendo"", ""Gradiente"", ""iQue""]"
19565,Marvel's Spider-Man,marvels-spider-man,"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",87.16965651445537,2072,88.42857825722768,2088,co1r77.jpg,"[""Hack and slash/Beat 'em up"", ""Adventure""]","[""PlayStation 4""]","[""Sony Interactive Entertainment"", ""Insomniac Games""]"
121,Minecraft: Java Edition,minecraft-java-edition,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.",85.28536788793758,2021,84.82125537254022,2035,coa77e.jpg,"[""Simulator"", ""Adventure""]","[""Linux"", ""PC (Microsoft Windows)"", ""Mac""]","[""Mojang Studios""]"
1074,Super Mario 64,super-mario-64,"Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive soundtrack, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses, and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch-nemesis— Bowser, King of the Koopas!

• Run freely in a grassy meadow, tip-toe through a gloomy dungeon, climb to the top of a mountain, or take a swim in the moat!
• Leap headfirst into a watery painting and soon you'll be searching for the surface in an underwater realm!
• On-the-fly, 3-D rendered gameplay delivers the action of ruthless enemy attacks from every angle!
• Find the Caps that give Mario super powers and ponder the mysteries of the pyramid; you can even race Koopas for fabulous prizes!
• With the Nintendo 64 Controller and its analog
Control Stick, Mario can crawl, kick down obstacles, swim, do reverse flips, and even stick the landing on his backwards somersault!
• Saved game information is stored for up to four players in memory.",88.76023562564818,2021,88.8801178128241,2022,co721v.jpg,"[""Platform"", ""Adventure""]","[""Wii"", ""Nintendo 64"", ""Wii U""]","[""Nintendo"", ""Nintendo Entertainment Analysis & Development"", ""Playtronic"", ""Gradiente""]"
1070,Super Mario World,super-mario-world,"A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.",91.70191481860208,1973,95.85095740930105,1974,co8lo8.jpg,"[""Platform"", ""Adventure""]","[""Arcade"", ""Super Nintendo Entertainment System"", ""Wii"", ""Wii U"", ""New Nintendo 3DS"", ""Super Famicom""]","[""Nintendo Entertainment Analysis & Development"", ""Nintendo"", ""Playtronic"", ""Gradiente"", ""Hyundai""]"
